gene,pval,fdr,mean_dcm,mean_acm,log2fc
VTA1,4.772473421264105e-05,1.0,0.115507826,0.14131275,0.2908988
ALG10B,6.90560459770961e-05,1.0,0.017238133,0.026741691,0.63345766
MED23,0.0002003592787689273,1.0,0.21087421,0.26253036,0.31610024
PDGFB,0.000281692257483226,1.0,0.015296096,0.0044570644,-1.7787685
SLC30A10,0.00033311293710927336,1.0,0.13238837,0.23498496,0.8277874
SMILR,0.0003620000268429006,1.0,0.0137461955,0.034086507,1.3101053
NAA11,0.00039321648033758557,1.0,0.023047151,0.0395309,0.7783661
UBE2Q2,0.00046333633017270147,1.0,0.11941604,0.086433515,-0.46632934
ENSG00000231405,0.0005026180674658163,1.0,0.0002790725,0.0014600944,2.3831778
SRSF6,0.0005026180674658163,1.0,0.28335914,0.37404296,0.400571
CBL,0.0005449871441436784,1.0,0.13967535,0.09929119,-0.49233556
ENSG00000251031,0.0005449871441436784,1.0,0.002590613,0.0058665695,1.1789131
KLHL9,0.0005449871441436784,1.0,0.049161453,0.0689401,0.48780727
HADHB,0.0005906646043879833,1.0,1.2674642,1.6103603,0.34543827
DLGAP4-AS1,0.0005906646043879833,1.0,0.17343697,0.1182479,-0.55259323
IGFBP3,0.0005906646043879833,1.0,0.01036144,0.01841528,0.829618
LSAMP-AS1,0.0006398855023302344,1.0,0.012544228,0.023963481,0.9337592
CLCN5,0.0006398855023302344,1.0,0.07251039,0.104406744,0.52594924
ARB2A,0.0006928996461457127,1.0,0.695187,0.77770853,0.16182828
ANGPT1,0.0006928996461457127,1.0,0.08078952,0.13356306,0.72527385
ENSG00000254303,0.0006928996461457127,1.0,0.032438267,0.0938013,1.531882
LINC02453,0.0007499723708957964,1.0,0.014959614,0.025700528,0.78068495
NDUFA5,0.0008113853404447885,1.0,0.37175152,0.4721115,0.34478807
CARMN,0.0008113853404447885,1.0,0.2653014,0.15780973,-0.74944246
KIF27,0.0008113853404447885,1.0,0.18313915,0.23608623,0.3663721
CA3,0.0008774373787170261,1.0,0.09981077,0.15695016,0.65303373
POLD3,0.0008774373787170261,1.0,0.1429949,0.21874207,0.6132636
STRA8,0.0008774373787170261,1.0,0.0022429866,0.0047215032,1.0734873
CDK2AP1,0.0008774373787170261,1.0,0.0039475574,0.0015119012,-1.3840075
ABT1,0.000948445330493951,1.0,0.027150571,0.040765468,0.5863471
MYOCD,0.0010247449518791653,1.0,1.1666934,0.87829643,-0.4096452
