gene,pval,fdr,mean_dcm,mean_acm,log2fc
VTA1,4.772473421264108e-05,1.0,0.11550783,0.14131273,0.29089856
ALG10B,6.905604597709612e-05,1.0,0.017238133,0.026741697,0.63345766
MED23,0.00020035927876892724,1.0,0.21087423,0.26253024,0.31609952
PDGFB,0.000281692257483226,1.0,0.015296093,0.0044570644,-1.7787681
SLC30A10,0.00033311293710927336,1.0,0.13238835,0.23498504,0.8277879
SMILR,0.00036200002684290064,1.0,0.013746196,0.034086514,1.3101058
NAA11,0.00039321648033758557,1.0,0.023047153,0.039530892,0.7783661
UBE2Q2,0.0004633363301727013,1.0,0.11941601,0.08643352,-0.46632886
ENSG00000231405,0.0005026180674658162,1.0,0.0002790725,0.0014600942,2.3831768
SRSF6,0.0005026180674658162,1.0,0.28335914,0.37404293,0.40057087
CBL,0.0005449871441436787,1.0,0.13967535,0.099291176,-0.4923358
KLHL9,0.0005449871441436787,1.0,0.04916145,0.0689401,0.48780775
ENSG00000251031,0.0005449871441436787,1.0,0.0025906132,0.0058665695,1.1789131
IGFBP3,0.0005906646043879833,1.0,0.01036144,0.018415278,0.829618
DLGAP4-AS1,0.0005906646043879833,1.0,0.17343697,0.1182479,-0.55259323
HADHB,0.0005906646043879833,1.0,1.2674644,1.6103603,0.34543806
LSAMP-AS1,0.000639885502330234,1.0,0.012544228,0.02396348,0.9337592
CLCN5,0.000639885502330234,1.0,0.0725104,0.104406744,0.525949
ARB2A,0.0006928996461457129,1.0,0.6951869,0.7777085,0.16182828
ENSG00000254303,0.0006928996461457129,1.0,0.03243827,0.09380128,1.5318818
ANGPT1,0.0006928996461457129,1.0,0.08078953,0.13356304,0.7252736
LINC02453,0.0007499723708957964,1.0,0.014959614,0.025700528,0.78068495
NDUFA5,0.0008113853404447884,1.0,0.37175164,0.47211117,0.34478664
CARMN,0.0008113853404447884,1.0,0.26530138,0.15780969,-0.7494428
KIF27,0.0008113853404447884,1.0,0.18313915,0.23608626,0.3663721
STRA8,0.0008774373787170261,1.0,0.0022429866,0.0047215032,1.0734873
POLD3,0.0008774373787170261,1.0,0.1429949,0.2187421,0.61326385
CDK2AP1,0.0008774373787170261,1.0,0.0039475574,0.001511901,-1.3840075
CA3,0.0008774373787170261,1.0,0.09981079,0.15695016,0.6530335
ABT1,0.0009484453304939509,1.0,0.027150568,0.040765464,0.5863476
ENSG00000284959,0.0010247449518791653,1.0,0.1318482,0.20053962,0.6050055
MYOCD,0.0010247449518791653,1.0,1.1666936,0.8782963,-0.40964556
CEP78,0.0010247449518791653,1.0,0.025544407,0.03712008,0.53917503
FYN,0.0011066918304818347,1.0,0.30462992,0.20827256,-0.5485828
C3orf22,0.0011066918304818347,1.0,0.0029855669,0.006054962,1.0198684
SLC45A2,0.0011066918304818347,1.0,0.00699912,0.011455133,0.71066856
RFC3,0.0011946623352852392,0.979411402621314,0.1867218,0.25776714,0.465176
C18orf63,0.0011946623352852392,0.979411402621314,0.006251977,0.012669032,1.0188055
ENSG00000238207,0.0011946623352852392,0.979411402621314,0.007933377,0.010940545,0.46362782
DERL3,0.0011946623352852392,0.979411402621314,0.008067453,0.014603106,0.85600996
IFT74,0.0011946623352852392,0.979411402621314,0.16414115,0.2104411,0.3584776
RNF128,0.0011946623352852392,0.979411402621314,0.028911801,0.044767216,0.6307664
LINC03116,0.0012890545960774582,0.9380551681972209,0.001774215,0.0030891094,0.7996645
ENSG00000257239,0.0012890545960774582,0.9380551681972209,0.016185088,0.034337725,1.085082
FCRL3,0.0012890545960774582,0.9380551681972209,0.00090464804,0.0023044392,1.3480196
SSPN,0.0012890545960774582,0.9380551681972209,0.18480954,0.14068158,-0.39360332
SLC9C2,0.0013902895122252493,0.9379530265497968,0.009402646,0.016009467,0.7677231
MCAM,0.0013902895122252493,0.9379530265497968,0.09839615,0.054980986,-0.8396578
ENSG00000261036,0.0013902895122252493,0.9379530265497968,0.0015817995,0.0029743125,0.9105625
PQBP1,0.0014988117904697817,0.9244956611577703,0.020509077,0.029341042,0.5166364
STAT4,0.0014988117904697817,0.9244956611577703,0.20640308,0.0560482,-1.8807061
ENSG00000274422,0.0014988117904697817,0.9244956611577703,0.046481173,0.07159663,0.6232345
TSPAN19,0.0014988117904697817,0.9244956611577703,0.0031912317,0.007947061,1.3160377
GAU1,0.0014988117904697817,0.9244956611577703,0.011817223,0.02333805,0.98173285
ENSG00000270996,0.0014988117904697817,0.9244956611577703,0.0030840125,0.0053003393,0.78108025
MTG1,0.0016150910113142199,0.9175700389366382,0.0008491483,0.0024869663,1.549181
ARPC2,0.0016150910113142199,0.9175700389366382,0.17718425,0.14476144,-0.29157114
TPM4,0.0016150910113142199,0.9175700389366382,0.03146953,0.013734841,-1.1960564
SPEF2,0.0017396227234580148,0.9013472424598543,0.060775556,0.08733211,0.52301383
APOLD1,0.0017396227234580148,0.9013472424598543,0.047357637,0.055374194,0.22561216
ALOX12B,0.0017396227234580148,0.9013472424598543,0.0013485863,0.0028169346,1.0621204
MYOCD-AS1,0.0017396227234580148,0.9013472424598543,0.5101435,0.3394917,-0.5875254
LINGO1,0.0017396227234580148,0.9013472424598543,0.92913914,1.4536058,0.64566886
ENSG00000260507,0.0017396227234580148,0.9013472424598543,0.006893695,0.011317333,0.71510315
VPS39,0.0017396227234580148,0.9013472424598543,0.20359853,0.23874025,0.22971368
RAD51AP1,0.0017396227234580148,0.9013472424598543,0.005841528,0.009015472,0.6259699
SLC18B1,0.0018729295656111059,0.8854171988786049,0.06090872,0.091345966,0.5846844
SMPDL3A,0.0018729295656111059,0.8854171988786049,0.02902358,0.041813593,0.526731
DCDC2,0.0018729295656111059,0.8854171988786049,0.012090983,0.021743285,0.8465853
P4HA1,0.0018729295656111059,0.8854171988786049,0.90709305,1.1642008,0.360017
ENSG00000277763,0.001943044674545978,0.8862199393777803,0.00018942413,0.0005788679,1.6065073
ENSG00000250064,0.0020155624148932303,0.9002752783653444,0.005688841,0.008827733,0.63381815
ENSG00000272384,0.0020155624148932303,0.9002752783653444,0.0011687181,0.0025674605,1.1347427
ENSG00000260729,0.0021681015608891793,0.9299289118711827,0.23079504,0.29566687,0.35735917
RARA-AS1,0.0021681015608891793,0.9299289118711827,0.007391374,0.0025435267,-1.5386405
ACTN1,0.0021681015608891793,0.9299289118711827,0.40551788,0.24707569,-0.71481025
OR2AJ1,0.0021681015608891793,0.9299289118711827,0.0019023748,0.0036776708,0.9506254
ENSG00000272343,0.0023311579042899445,0.9095167037906177,0.0016918913,0.0044240444,1.3862028
ENSG00000271860,0.0023311579042899445,0.9095167037906177,0.04596149,0.06416668,0.48139
TSHR,0.0023311579042899445,0.9095167037906177,0.10101913,0.17431831,0.7870896
UQCR10,0.0023311579042899445,0.9095167037906177,0.23707119,0.31242022,0.39816618
STARD13,0.0023311579042899445,0.9095167037906177,1.2180889,1.4766622,0.2777202
CXCL14,0.0023311579042899445,0.9095167037906177,0.00036422798,0.0032428673,3.1508455
HCFC1R1,0.0023311579042899445,0.9095167037906177,0.025356442,0.033740215,0.4121027
ENSG00000253553,0.0023311579042899445,0.9095167037906177,0.027727554,0.039243452,0.5011163
ENSG00000236817,0.0023311579042899445,0.9095167037906177,0.003075446,0.005610743,0.86718416
LINC01152,0.0023311579042899445,0.9095167037906177,0.0033051176,0.007544204,1.190422
SLC26A3,0.0023311579042899445,0.9095167037906177,0.4749586,0.62990946,0.40734196
LRBA,0.0025053741789029115,0.8818644786457933,0.8887116,1.0060415,0.1789024
FAM174A-DT,0.0025053741789029115,0.8818644786457933,0.048373215,0.0683217,0.49812675
ENSG00000253574,0.0025053741789029115,0.8818644786457933,0.00029460693,0.001540715,2.382784
ENSG00000283667,0.0025053741789029115,0.8818644786457933,0.0017251855,0.0028056554,0.7012644
PCDHB5,0.0025053741789029115,0.8818644786457933,0.002111501,0.0048121563,1.1880312
LINC02572,0.0025053741789029115,0.8818644786457933,0.009568852,0.013548346,0.5016551
LNPPS,0.0025053741789029115,0.8818644786457933,0.09080577,0.045703713,-0.99045706
MTMR8,0.002691426195660986,0.871564544940897,0.026868625,0.035732854,0.41131544
SRSF3,0.002691426195660986,0.871564544940897,0.4385498,0.6009957,0.4546131
GJC1,0.002691426195660986,0.871564544940897,0.12791133,0.084048666,-0.6058414
CTSV,0.002691426195660986,0.871564544940897,0.0009799127,0.0014915043,0.60553837
ZNG1C,0.002691426195660986,0.871564544940897,0.037429824,0.04632561,0.30761433
ADAM7,0.002691426195660986,0.871564544940897,0.0022373835,0.003695378,0.72365475
ENSG00000272155,0.002691426195660986,0.871564544940897,0.014659658,0.023736164,0.6951976
LINC02228,0.002691426195660986,0.871564544940897,0.020192482,0.0259627,0.36260605
SMAD4,0.002691426195660986,0.871564544940897,0.14468242,0.1851463,0.35577393
AQP7B,0.002890024107101894,0.8393511269980326,0.12425001,0.20548701,0.7257967
ENSG00000274460,0.002890024107101894,0.8393511269980326,0.009582861,0.014338134,0.5812788
LINC01756,0.002890024107101894,0.8393511269980326,0.0035323726,0.006425838,0.86306286
C1QL1,0.002890024107101894,0.8393511269980326,0.0017806682,0.004274113,1.2627344
CHST9,0.002890024107101894,0.8393511269980326,0.24103293,0.43258506,0.8437511
RNLS,0.002890024107101894,0.8393511269980326,0.26716888,0.32484066,0.28197932
ATP6V1G1,0.002890024107101894,0.8393511269980326,0.08382607,0.10557498,0.33279347
ZFP69,0.002890024107101894,0.8393511269980326,0.025626749,0.03532196,0.4628992
IGF2R,0.002890024107101894,0.8393511269980326,0.56938154,0.78952116,0.4715815
ENSG00000250735,0.002890024107101894,0.8393511269980326,0.009349228,0.015421081,0.7219238
MRPL1,0.002890024107101894,0.8393511269980326,0.21052225,0.24790156,0.23579359
LINC02770,0.002890024107101894,0.8393511269980326,0.00501727,0.0070088166,0.48218632
FLVCR2,0.002890024107101894,0.8393511269980326,0.038242556,0.061398327,0.6830063
MDFIC2,0.002890024107101894,0.8393511269980326,0.0071599083,0.0122999335,0.78055334
ZNF214,0.003101913690623981,0.8166607401908649,0.018541403,0.02997585,0.69302034
ENSG00000271820,0.003101913690623981,0.8166607401908649,0.00066057086,0.001675175,1.3412046
F11,0.003101913690623981,0.8166607401908649,0.0030603386,0.00663513,1.1161795
ADGRG5,0.003101913690623981,0.8166607401908649,0.0040184306,0.0071716174,0.83550835
HSPBAP1,0.003101913690623981,0.8166607401908649,0.11798644,0.14586106,0.30597138
SLBP,0.003101913690623981,0.8166607401908649,0.15336278,0.2340327,0.6097586
ENSG00000269210,0.003101913690623981,0.8166607401908649,0.0012443755,0.0026824179,1.1074905
FOXO3,0.003101913690623981,0.8166607401908649,1.263087,1.6125026,0.35234717
TACR3-AS1,0.003101913690623981,0.8166607401908649,0.0044199433,0.0073515023,0.733881
LINC00525,0.0032130859756741236,0.8128856496113683,0.0011447144,0.0026581727,1.2147303
LINC02941,0.0033278776486548914,0.8012391219062555,0.061920706,0.10465791,0.75717807
GLS,0.0033278776486548914,0.8012391219062555,0.46804672,0.38941675,-0.265337
LCDR,0.0033278776486548914,0.8012391219062555,0.047920723,0.07406743,0.62817883
PID1,0.0033278776486548914,0.8012391219062555,0.06016133,0.10182102,0.7591176
MTBP,0.0033278776486548914,0.8012391219062555,0.027514173,0.038196295,0.47324324
LINC02493,0.0033278776486548914,0.8012391219062555,0.0022782101,0.0042273444,0.89155865
CFTR,0.0033278776486548914,0.8012391219062555,0.021018682,0.031675972,0.5916934
ALG10,0.0033278776486548914,0.8012391219062555,0.008180828,0.011908559,0.541625
SATB2-AS1,0.0033278776486548914,0.8012391219062555,0.00091470097,0.0021476352,1.2304716
ENSG00000272335,0.0033278776486548914,0.8012391219062555,0.016185055,0.02410299,0.5745206
EXO5-DT,0.0033278776486548914,0.8012391219062555,0.14766754,0.18519172,0.32666492
RCBTB2,0.0033278776486548914,0.8012391219062555,0.0673143,0.084968634,0.33601308
ZNG1F,0.003568736923694396,0.7782249683501389,0.05183802,0.0720051,0.4740808
OXSM,0.003568736923694396,0.7782249683501389,0.047324903,0.06422874,0.44061136
HNRNPH1,0.003568736923694396,0.7782249683501389,0.5541607,0.65385157,0.23865837
CCDC138,0.003568736923694396,0.7782249683501389,0.07127685,0.09396706,0.3987167
ANKRD28,0.003568736923694396,0.7782249683501389,0.38128218,0.46633014,0.29049182
GALNTL6,0.003568736923694396,0.7782249683501389,0.08157878,0.12603903,0.6275983
FAM133A,0.003568736923694396,0.7782249683501389,0.011943307,0.022466276,0.91150236
DNAAF9,0.003568736923694396,0.7782249683501389,0.888106,0.77604383,-0.19459349
EIF4EBP3,0.003568736923694396,0.7782249683501389,0.0020637645,0.0032116268,0.6377764
LINC01726,0.003568736923694396,0.7782249683501389,0.00081486197,0.001729979,1.0851908
USP26,0.003568736923694396,0.7782249683501389,0.005189077,0.0076421197,0.5584054
PAM16,0.003568736923694396,0.7782249683501389,0.01827718,0.0097661,-0.90412045
RADX,0.003568736923694396,0.7782249683501389,0.008523002,0.01448283,0.7648401
BSPH1,0.003568736923694396,0.7782249683501389,0.003336322,0.0063772304,0.9344654
HYAL4,0.003568736923694396,0.7782249683501389,0.04507401,0.021839565,-1.0453176
ENSG00000263655,0.003568736923694396,0.7782249683501389,0.004668771,0.007938212,0.7656441
HLF,0.0038253520260124914,0.7553437479168446,0.10879595,0.1784381,0.7137935
ZNF33B,0.0038253520260124914,0.7553437479168446,0.17253616,0.24571678,0.5100951
ENSG00000272609,0.0038253520260124914,0.7553437479168446,0.0002545489,0.0011246756,2.1391191
RAD21,0.0038253520260124914,0.7553437479168446,0.23612401,0.30073246,0.34893453
TRIM66,0.0038253520260124914,0.7553437479168446,0.13785586,0.18588178,0.43122196
PARD3B,0.0038253520260124914,0.7553437479168446,0.8800812,1.0618145,0.27082294
CYB5R3,0.0038253520260124914,0.7553437479168446,0.22600928,0.17745571,-0.3489213
USP37,0.0038253520260124914,0.7553437479168446,0.18326123,0.22965623,0.32557273
STARD9,0.0038253520260124914,0.7553437479168446,0.19587986,0.1382655,-0.50252485
PRELID2,0.0038253520260124914,0.7553437479168446,0.3778876,0.5860092,0.63296473
TRMT9B,0.0038253520260124914,0.7553437479168446,0.22652504,0.28799772,0.3463856
CFAP52,0.0038253520260124914,0.7553437479168446,0.030203937,0.04650828,0.62273407
GPR174,0.0038253520260124914,0.7553437479168446,0.00038317914,0.00088893203,1.211916
SPACA7,0.0038253520260124914,0.7553437479168446,0.002836627,0.0058830674,1.0521293
LINC00293,0.0038253520260124914,0.7553437479168446,0.0019839273,0.0033905364,0.7728529
CDCP1,0.004098624371599606,0.7519872692663457,0.016381484,0.02638494,0.6876154
CNTNAP5,0.004098624371599606,0.7519872692663457,0.05517823,0.07126873,0.36916423
SNX13,0.004098624371599606,0.7519872692663457,0.5220069,0.6147459,0.23592085
DCDC1,0.004098624371599606,0.7519872692663457,0.038519185,0.0529335,0.45859385
NOX1,0.004098624371599606,0.7519872692663457,0.0066129137,0.0085221,0.3658743
LINC01644,0.004098624371599606,0.7519872692663457,0.0006116704,0.0014800283,1.2734165
ENSG00000265100,0.004098624371599606,0.7519872692663457,0.001828642,0.0036265552,0.9874363
LINC01204,0.004098624371599606,0.7519872692663457,0.005283602,0.008861572,0.7459307
LINC01941,0.004098624371599606,0.7519872692663457,7.794601e-05,0.0005418465,2.7816057
