gene,pval,fdr,mean_dcm,mean_acm,log2fc
ENSG00000258272,0.0002003592787689273,1.0,0.7717528,1.6434544,-1.0905197
SLBP,0.0002003592787689273,1.0,3.131455,3.8775117,-0.308298
RNF216,0.00033311293710927336,1.0,5.067241,4.59035,0.14259624
LINC00616,0.00033311293710927336,1.0,1.5905364,2.3351202,-0.55398315
KLHL9,0.00046333633017270147,1.0,1.9717672,2.5984695,-0.39817274
IGF2R,0.0005026180674658163,1.0,4.7627525,5.2794104,-0.14858127
PDGFRL,0.0005449871441436784,1.0,1.4085896,2.1695807,-0.62316453
BEX4,0.0006398855023302344,1.0,3.1155179,3.7137454,-0.25340283
SRSF6,0.0006928996461457127,1.0,3.9283419,4.3349514,-0.14209533
ANKRD30B,0.0007499723708957964,1.0,1.6677712,2.6600056,-0.6735075
CBL,0.0008113853404447885,1.0,3.3298266,2.9066343,0.19609737
RBPMS2,0.0008774373787170261,1.0,3.9808042,3.6457183,0.1268568
VASP,0.0008774373787170261,1.0,2.8453627,2.3982048,0.24665749
LINC02770,0.000948445330493951,1.0,0.37927592,1.1148181,-1.5554861
ENSG00000225963,0.000948445330493951,1.0,0.49247837,1.2360101,-1.3275564
BMAL2,0.000948445330493951,1.0,2.649735,1.818012,0.5434861
SP1,0.0011066918304818351,1.0,2.7070558,2.4874952,0.122030854
CLTCL1,0.0011066918304818351,1.0,4.415267,4.0781264,0.11459398
A4GALT,0.001194662335285239,1.0,3.9129446,3.27543,0.25657034
HABP4,0.001194662335285239,1.0,3.595673,2.980749,0.27058697
USP37,0.001194662335285239,1.0,3.3106248,3.7610378,-0.1840272
UBALD2,0.001194662335285239,1.0,2.0359626,2.6349041,-0.3720392
LINC01266,0.001194662335285239,1.0,1.5630044,2.3845406,-0.60938925
EGLN1,0.001194662335285239,1.0,4.38024,4.9737306,-0.18331838
DAAM2,0.0012890545960774584,1.0,2.5336432,3.4778588,-0.45698583
FOXB1,0.0013902895122252497,1.0,0.85516465,1.6101677,-0.91293603
ENSG00000189229,0.0013902895122252497,1.0,1.7241797,2.7165985,-0.65589094
ENSG00000251293,0.0013902895122252497,1.0,1.0633944,1.7357509,-0.7068826
DSCAM,0.0013902895122252497,1.0,1.9767766,2.6143055,-0.4032777
ENSG00000259363,0.0014988117904697815,1.0,3.01918,1.6954756,0.8324664
LINC01414,0.0014988117904697815,1.0,1.9849868,2.5779092,-0.37707192
INTS6-AS1,0.0014988117904697815,1.0,2.7175512,3.3051121,-0.2823919
ENTPD3,0.0014988117904697815,1.0,1.8442273,2.5231042,-0.45218307
HNRNPH2,0.0014988117904697815,1.0,1.5820559,2.326196,-0.5561718
RDH14,0.0016150910113142188,1.0,2.4436197,3.1227112,-0.35377932
LINGO1,0.0016150910113142188,1.0,5.0528235,6.11712,-0.2757628
YJU2B,0.0016150910113142188,1.0,3.8740358,3.6199954,0.09784937
TMEM41B,0.0016150910113142188,1.0,4.013474,3.2499404,0.3044381
ZNF33B,0.0017396227234580145,1.0,3.091583,3.7375178,-0.27373457
SLC27A6,0.0017396227234580145,1.0,4.6707463,4.229574,0.14314055
CDCP1,0.0017396227234580145,1.0,1.0255878,1.8580455,-0.8573342
C12orf42-AS1,0.0017396227234580145,1.0,0.06995159,0.35900354,-2.3595529
DENND5A,0.0017396227234580145,1.0,4.6380267,4.4296923,0.06630468
PACS1,0.0017396227234580145,1.0,5.5773463,5.1815877,0.10618472
RUSC2,0.0018729295656111059,0.9618888054195931,3.9907453,3.5757258,0.15842211
STK39,0.0018729295656111059,0.9618888054195931,5.2015553,5.0126615,0.053366184
ENSG00000233656,0.0018729295656111059,0.9618888054195931,0.6504058,1.2806711,-0.9774868
LINC01392,0.0018729295656111059,0.9618888054195931,0.8308408,1.5121603,-0.8639662
CTBP2,0.0018729295656111059,0.9618888054195931,5.0898557,4.6812882,0.120719194
HNRNPH1,0.0020155624148932303,0.9356085686671691,4.6353464,5.030444,-0.11800861
TOR1AIP1,0.0020155624148932303,0.9356085686671691,3.3622622,3.8996456,-0.2139107
ARHGAP10,0.0020155624148932303,0.9356085686671691,5.810511,6.160468,-0.084374905
BTF3,0.0020155624148932303,0.9356085686671691,2.7773325,3.3280377,-0.26097178
C1QL1,0.0020155624148932303,0.9356085686671691,0.16215692,0.7520465,-2.2134244
ENSG00000284959,0.00216810156088918,0.9181339557323338,2.620539,3.3305235,-0.34588528
NAP1L4,0.00216810156088918,0.9181339557323338,4.4730296,4.2951703,0.058536768
ATP10B,0.00216810156088918,0.9181339557323338,1.7434971,2.296873,-0.39768696
MFSD8,0.00216810156088918,0.9181339557323338,3.380425,3.969065,-0.23159456
NAP1L1,0.00216810156088918,0.9181339557323338,4.4571657,4.281063,0.058157444
ACMSD,0.0023311579042899436,0.8931664999008041,1.2886775,1.9480262,-0.5961215
ENSG00000257737,0.0023311579042899436,0.8931664999008041,1.4084784,2.0783951,-0.5613322
HADHB,0.0023311579042899436,0.8931664999008041,5.6760426,6.115385,-0.10755777
RAD21,0.0023311579042899436,0.8931664999008041,3.6667366,4.039669,-0.13974035
RPS28,0.0023311579042899436,0.8931664999008041,2.7856593,3.3882477,-0.2825204
ENSG00000251216,0.0023311579042899436,0.8931664999008041,1.9344487,2.9053586,-0.5867935
PGGT1B,0.0023311579042899436,0.8931664999008041,3.2645543,3.606877,-0.14386427
ILDR2,0.002505374178902911,0.8828426559176419,3.4770925,3.1953926,0.12188816
LSAMP-AS1,0.002505374178902911,0.8828426559176419,0.9839043,1.7855647,-0.8597897
GNG10,0.002505374178902911,0.8828426559176419,0.08798523,0.36905274,-2.0684814
ENSG00000262801,0.002505374178902911,0.8828426559176419,1.2327164,1.8238852,-0.56517357
PM20D2,0.002691426195660984,0.9150090917023216,3.7104416,4.2843285,-0.20747805
FAM133A,0.0028900241071018948,0.955608245167473,0.6917695,1.468736,-1.0862107
EXOC3-AS1,0.0028900241071018948,0.955608245167473,1.7995598,1.2072713,0.5758937
SH2D1B,0.0028900241071018948,0.955608245167473,0.32120287,0.95569634,-1.5730644
RARA,0.0029942594017246882,0.9636724458510736,1.9376982,1.1420298,0.7627432
YIPF7,0.0031019136906239803,0.94181122848153,2.1851854,2.81407,-0.36490238
ENSG00000236358,0.0031019136906239803,0.94181122848153,0.50776327,1.1110556,-1.1297015
LINC03002,0.0031019136906239803,0.94181122848153,3.1210818,4.2287636,-0.43818963
METTL1,0.0031019136906239803,0.94181122848153,0.45898327,0.0,18.808084
PLPP3,0.0031019136906239803,0.94181122848153,4.4994917,5.0573545,-0.16862082
PROSER2-AS1,0.0031019136906239803,0.94181122848153,0.7070476,1.403459,-0.9891066
PHYKPL,0.0031019136906239803,0.94181122848153,4.425829,4.4037943,0.0072004795
ATP5MC3,0.0031019136906239803,0.94181122848153,4.448372,4.814715,-0.114172935
AHDC1,0.003327877648654892,0.9395124056518337,3.5091276,3.0530913,0.20084155
SSPN,0.003327877648654892,0.9395124056518337,3.4949892,2.8995092,0.26947916
GJC1,0.003327877648654892,0.9395124056518337,3.339125,2.915705,0.1956253
ENSG00000253354,0.003327877648654892,0.9395124056518337,1.1885366,1.9869156,-0.74134374
DLC1,0.003568736923694395,0.9466172732322561,6.1792784,6.6120887,-0.097667694
CELF5,0.003568736923694395,0.9466172732322561,1.3147471,1.8470505,-0.49043775
YARS1,0.003568736923694395,0.9466172732322561,3.6683116,3.2242632,0.18614662
STXBP1,0.003568736923694395,0.9466172732322561,3.3988302,2.8391478,0.25958025
CYCS,0.003568736923694395,0.9466172732322561,3.805035,4.296355,-0.17520332
FAM228A,0.003568736923694395,0.9466172732322561,0.18584853,0.5517092,-1.5697756
IGFBP6,0.003568736923694395,0.9466172732322561,1.0759637,1.6753384,-0.6388226
RPL22,0.0036950196324101042,0.9388461461801588,2.7317479,2.2643948,0.27069867
ENSG00000258637,0.0038253520260124923,0.9374248447095384,0.74323684,1.7040002,-1.1970304
ENSG00000248802,0.0038253520260124923,0.9374248447095384,1.6954051,2.3895938,-0.49513507
STEAP2,0.0038253520260124923,0.9374248447095384,1.7846715,2.4539015,-0.4594186
SNHG12,0.0038253520260124923,0.9374248447095384,1.9660414,2.5095081,-0.3521108
WNT9A,0.0038253520260124923,0.9374248447095384,3.5720701,4.6151557,-0.3696189
LAPTM4A,0.0038253520260124923,0.9374248447095384,3.3952184,3.6908686,-0.12045598
TBCCD1,0.003959848070264687,0.9370863992161668,2.51134,2.025288,0.31033003
ENSG00000259756,0.004098624371599606,0.9422151912540122,0.85938233,1.6000197,-0.8967168
WIPF3,0.004098624371599606,0.9422151912540122,3.307746,2.9827461,0.14920712
CCNH,0.004098624371599606,0.9422151912540122,4.873532,5.164911,-0.08377576
ATOSB,0.004098624371599606,0.9422151912540122,1.7825713,1.1707041,0.6065829
SYT1,0.004098624371599606,0.9422151912540122,1.4607683,1.9742148,-0.4345513
NES,0.004241800219307504,0.9480423490152271,2.2224352,1.4863077,0.5804083
DNAJC5,0.00438949762777718,0.9502573429532338,3.38481,3.069378,0.14112854
LINC00702,0.00438949762777718,0.9502573429532338,4.539002,5.200223,-0.19619823
DAB2IP,0.00438949762777718,0.9502573429532338,4.158445,3.8410406,0.114546776
MRAS,0.00438949762777718,0.9502573429532338,4.8118124,4.486322,0.10104704
LINC02580,0.00438949762777718,0.9502573429532338,0.14490534,0.45889103,-1.663034
CLPTM1L,0.00438949762777718,0.9502573429532338,1.9874994,1.4386814,0.46620703
PHLPP2,0.004541841378767608,0.9491858632094591,3.040159,2.5034647,0.2802205
GLYATL2,0.004541841378767608,0.9491858632094591,0.19636089,0.57474697,-1.5494146
DHX34,0.004698959063685258,0.9451956156602896,2.801187,2.5219142,0.15151906
SLC9C2,0.004698959063685258,0.9451956156602896,0.75378597,1.1703188,-0.6346741
PHLDB2,0.004698959063685258,0.9451956156602896,5.6743093,5.402966,0.070693254
PMEPA1,0.004698959063685258,0.9451956156602896,2.8548067,2.2497315,0.3436401
GNB1,0.004698959063685258,0.9451956156602896,4.3189473,4.091672,0.07798934
PSTK,0.004698959063685258,0.9451956156602896,2.1427553,2.518398,-0.23303914
TSHR,0.004698959063685258,0.9451956156602896,2.4519384,3.238816,-0.40154374
BHLHE41,0.004860981125842167,0.946244858190147,1.7409763,1.0078182,0.7886606
RNLS,0.005028040902668512,0.9518968730087258,3.782801,4.1563883,-0.13587558
OVCH1,0.005028040902668512,0.9518968730087258,0.69806075,1.4803491,-1.0845118
USP22,0.005028040902668512,0.9518968730087258,4.2730646,4.068519,0.070767164
