gene,mean_vcm3,mean_rest,log2fc
ENSG00000249772,0.0001168075,0.0,6.880287
KCNA10,0.00010348584,0.0,6.707163
ENSG00000283033,9.289094e-05,0.0,6.5529137
OR8K3,9.236515e-05,0.0,6.544812
HOXC-AS1,9.020304e-05,0.0,6.511009
ENSG00000267075,8.7717155e-05,0.0,6.471141
ENSG00000231098,8.62914e-05,0.0,6.4477673
IRS4-AS1,8.526971e-05,0.0,6.4307814
ENSG00000249842,8.5100735e-05,0.0,6.427953
RTL1,7.621338e-05,0.0,6.2707787
KRTAP9-7,7.086523e-05,0.0,6.167222
TNP1,7.040996e-05,0.0,6.1580534
ENSG00000229740,7.0214155e-05,0.0,6.154092
ENSG00000253806,6.982843e-05,0.0,6.1462564
ENSG00000266973,6.7703164e-05,0.0,6.1023045
KLK1,6.6500674e-05,0.0,6.07683
LINC01570,6.5837274e-05,0.0,6.06258
SOWAHB,6.1473154e-05,0.0,5.965164
ENSG00000267035,5.936694e-05,0.0,5.9156866
TFDP3,5.9164842e-05,0.0,5.9108486
ENSG00000273551,5.7554673e-05,0.0,5.8717117
TRGV8,5.581023e-05,0.0,5.8280783
DEFB133,5.4200525e-05,0.0,5.7866096
LINC01735,5.386766e-05,0.0,5.7778835
CMTM1,5.3837062e-05,0.0,5.7770786
FGG,5.049355e-05,0.0,5.6863194
FOXI3,5.0264476e-05,0.0,5.679887
ENSG00000249405,5.0252787e-05,0.0,5.679558
ENSG00000253342,4.961906e-05,0.0,5.6616087
ENSG00000269349,4.9008017e-05,0.0,5.644087
ENSG00000258623,4.7692432e-05,0.0,5.605625
TPTE2-AS1,4.5983372e-05,0.0,5.554078
CDX4,4.413018e-05,0.0,5.4960203
ENSG00000254575,4.4112545e-05,0.0,5.4954567
ISM1-AS1,4.3508917e-05,0.0,5.476022
FGB,4.3106418e-05,0.0,5.4629164
ENSG00000254829,4.2831438e-05,0.0,5.4538937
LINC02415,4.1885913e-05,0.0,5.422432
KRTAP5-10,4.0927305e-05,0.0,5.389818
OVOL1-AS1,4.0669853e-05,0.0,5.380932
ENSG00000277930,3.9498424e-05,0.0,5.339793
ENSG00000273406,3.9314684e-05,0.0,5.333233
LINC00399,3.9311235e-05,0.0,5.33311
MBD3L3,3.802579e-05,0.0,5.286356
ENSG00000253538,3.7859358e-05,0.0,5.2801895
ENSG00000176984,3.7824346e-05,0.0,5.2788897
LCN1,3.6646357e-05,0.0,5.234438
