gene,mean_vcm3,mean_rest,log2fc,pval,fdr
ANKRD1,3.2526264,2.4775033,0.39271808,6.343722946517262e-254,5.951680868422495e-250
FHL2,2.3397148,3.024799,-0.37050653,6.544663097377697e-225,3.0701014589798776e-221
FGF12,2.2815397,2.9580233,-0.37462544,1.2128143173112928e-202,3.7928746416715166e-199
ACTA1,2.024426,1.3853323,0.54728055,1.6874739294670068e-176,3.9579701015648646e-173
PALLD,3.6948626,3.23008,0.19395077,2.155817450350974e-170,4.045175863838568e-167
MYO18B,2.4853883,1.9504094,0.34969407,3.570220814577228e-161,5.582635280393926e-158
FLNC-AS1,0.7373014,0.23005985,1.680241,1.518721451176963e-157,2.0355206649917523e-154
FHL1,1.3965144,0.92055714,0.6012507,2.5874942502459603e-146,3.03448388197595e-143
XIRP2,1.1315124,0.65903413,0.7798263,1.3606932278678592e-138,1.4184470959840285e-135
MYH9,0.99756753,0.5795469,0.7834879,1.99299301860957e-124,1.8698260500594986e-121
MYPN,1.6204059,1.1909282,0.4442685,7.31056468531688e-124,6.235247079785725e-121
CREB5,1.1276581,0.7225764,0.64210695,4.435954876765052e-118,3.4681773878174768e-115
DCBLD2,1.0327995,0.6394059,0.6917553,1.32567204650357e-111,9.567273184843457e-109
DLG1,1.4694004,1.039353,0.49954146,1.0843978281777633e-108,7.267014588545554e-106
CALD1,2.5594919,2.1088133,0.27942598,1.2596487323211115e-108,7.878682937757778e-106
FLNC,0.69271874,0.34662753,0.99888134,4.916597422326963e-108,2.882969813516973e-105
RRAS2,0.8587217,0.49904197,0.7830282,8.962319992487048e-108,4.946146245265499e-105
EIF2AK3,0.8297381,0.4539176,0.8702241,6.405967794274545e-107,3.338932769215766e-104
NRAP,1.7083595,1.3026084,0.39120793,1.4871683553327678e-106,7.343480794595804e-104
ATP2B4,1.0347716,0.6610333,0.6465167,2.1676276819442154e-99,1.0168341456000315e-96
OBSCN,2.0660603,1.6918768,0.28825766,3.922341756050783e-99,1.752352874060402e-96
DDX60L,1.1539551,0.802998,0.52311814,2.9441324316864983e-95,1.2555386579128513e-92
PDE3A,2.8445075,3.0881028,-0.118541956,2.2536167401598565e-93,9.192796633121641e-91
CSGALNACT1,0.62211424,0.967155,-0.6365667,8.344625887645648e-93,3.2620533365788115e-90
STYXL2,0.92334557,0.5941945,0.6359346,1.698961343771923e-88,6.3758621309072725e-86
VCL,2.0502152,1.7202822,0.25312996,1.9625651994799005e-88,7.081841039046318e-86
ANKRD2,1.0825045,0.6657549,0.7013091,6.137764511531493e-88,2.1327595054514248e-85
ADGRL2,0.80762,1.1328688,-0.4882316,1.4149162836759042e-87,4.740980204802619e-85
CORIN,0.16012645,0.47701603,-1.5748203,2.862763317113272e-86,9.261532910743695e-84
FLNB,0.84367484,0.4805832,0.81189966,3.984277832624449e-85,1.2460164875227527e-82
CACNB2,2.2870016,2.6170313,-0.19447374,8.333540800509249e-84,2.522105799689606e-81
MYL12A,1.5851167,1.2362605,0.358606,3.7809130918436454e-83,1.1085164571149089e-80
C6,0.41976076,0.76090485,-0.85814714,4.770150351084843e-83,1.3561681998144848e-80
SGCD,2.6520052,2.937532,-0.1475209,4.8222486187442695e-83,1.330656957089963e-80
ACTN2,2.6885612,2.3935883,0.16765916,2.961297335926809e-82,7.937969030190092e-80
NPPB,1.1897016,0.616531,0.9483531,3.6909886391524803e-82,9.619126503480158e-80
GRAMD1B,0.6146932,0.94786876,-0.62481993,1.1549313139342136e-81,2.928531239819133e-79
JAK2,1.0787584,0.74187183,0.5401292,1.6346690058431895e-80,4.035911740216001e-78
XPR1,2.3409371,1.961952,0.2547964,3.251581743680803e-80,7.82213844082392e-78
ZDHHC14,0.9559265,0.63210577,0.5967329,3.289718295706597e-80,7.716034262579823e-78
TNFRSF12A,0.40451995,0.17142172,1.238656,6.018404974796597e-78,1.377187206671748e-75
EXOC6B,2.7220535,2.4140027,0.17326808,1.7680457879312303e-77,3.949477519612096e-75
ROR1,2.0865982,1.7361946,0.26522398,2.035857487681227e-74,4.4419569649826217e-72
ST3GAL6,1.2730235,0.99502414,0.3554552,4.8467500538949795e-73,1.0334592955827885e-70
PLCE1,0.7658499,0.4944029,0.6313734,5.084309115098187e-71,1.060021958174471e-68
CPNE5,0.2707847,0.57247096,-1.0800534,1.2633010145431298e-70,2.576584808357314e-68
ACTN4,1.1094881,0.82296824,0.43098503,6.416740194749008e-69,1.2808905639815998e-66
GBE1,1.6334095,1.2712884,0.36159492,1.199189046221247e-68,2.3439149232599455e-66
